#ParcellationId,Label,Asymetry counterpart,Left or Right,White or Grey,Common Name
0002,Left-Cerebral-White-Matter,,Left,White,left cerebral white matter
0004,Left-Lateral-Ventricle,,Left,Neither,left lateral ventricle
0005,Left-Inf-Lat-Vent,,Left,Neither,left inferior lateral ventricle
0007,Left-Cerebellum-White-Matter,0008,Left,White,left cerebellum white matter
0008,Left-Cerebellum-Cortex,0007,Left,Neither,left cerebellum cortex
0010,Left-Thalamus-Proper,,Left,Neither,left thalamus proper
0011,Left-Caudate,,Left,Neither,left caudate
0012,Left-Putamen,,Left,Neither,left putamen
0013,Left-Pallidum,,Left,Neither,left pallidum
0014,3rd-Ventricle,,Neither,Neither,third ventricle
0015,4th-Ventricle,,Neither,Neither,fourth ventricle
0016,Brain-Stem,,Neither,Neither,brain stem
0017,Left-Hippocampus,,Left,Neither,left hippocampus
0018,Left-Amygdala,,Left,Neither,left amygdala
0024,CSF,,Neither,Neither,cerebrospinal fluid
0026,Left-Accumbens-area,,Left,Neither,left accumbens area
0028,Left-VentralDC,,Left,Neither,left ventral diencephalon
0030,Left-vessel,,Left,Neither,left vessel
0031,Left-choroid-plexus,,Left,Neither,left choroid plexus
0041,Right-Cerebral-White-Matter,,Right,White,right cerebral white matter
0043,Right-Lateral-Ventricle,,Right,Neither,right lateral ventricle
0044,Right-Inf-Lat-Vent,,Right,Neither,right inferior lateral ventricle
0046,Right-Cerebellum-White-Matter,0047,Right,White,right cerebellum white matter
0047,Right-Cerebellum-Cortex,0046,Right,Neither,right cerebellum cortex
0049,Right-Thalamus-Proper,,Right,Neither,right thalamus proper
0050,Right-Caudate,,Right,Neither,right caudate
0051,Right-Putamen,,Right,Neither,right putamen
0052,Right-Pallidum,,Right,Neither,right pallidum
0053,Right-Hippocampus,,Right,Neither,right hippocampus
0054,Right-Amygdala,,Right,Neither,right amygdala
0058,Right-Accumbens-area,,Right,Neither,right accumbens area
0060,Right-VentralDC,,Right,Neither,right ventral diencephalon
0062,Right-vessel,,Right,Neither,right vessel
0063,Right-choroid-plexus,,Right,Neither,right choroid plexus
0077,WM-hypointensities,,Neither,White,white matter hypointensities
0085,Optic-Chiasm,,Neither,Neither,optic chiasm
0251,CC_Posterior,,Neither,Neither,posterior corpus callosum 
0252,CC_Mid_Posterior,,Neither,Neither,mid posterior corpus callosum 
0253,CC_Central,,Neither,Neither,central corpus callosum 
0254,CC_Mid_Anterior,,Neither,Neither,mid anterior corpus callosum 
0255,CC_Anterior,,Neither,Neither,anterior corpus callosum 
1000,ctx-lh-unknown,,Left,Grey,unknown left hemisphere grey matter 
1001,ctx-lh-bankssts,3001,Left,Grey,left banks of superior temporal sulcus grey matter
1002,ctx-lh-caudalanteriorcingulate,3002,Left,Grey,left caudal anterior cingulate grey matter 
1003,ctx-lh-caudalmiddlefrontal,3003,Left,Grey,left caudal middle frontal grey matter
1005,ctx-lh-cuneus,3005,Left,Grey,left cuneus grey matter
1006,ctx-lh-entorhinal,3006,Left,Grey,left entorhinal grey matter
1007,ctx-lh-fusiform,3007,Left,Grey,left fusiform grey matter
1008,ctx-lh-inferiorparietal,3008,Left,Grey,left inferior parietal grey matter
1009,ctx-lh-inferiortemporal,3009,Left,Grey,left inferior temporal grey matter
1010,ctx-lh-isthmuscingulate,3010,Left,Grey,left isthmus cingulate grey matter
1011,ctx-lh-lateraloccipital,3011,Left,Grey,left lateral occipital grey matter
1012,ctx-lh-lateralorbitofrontal,3012,Left,Grey,left lateral orbitofrontal grey matter
1013,ctx-lh-lingual,3013,Left,Grey,left lingual grey matter
1014,ctx-lh-medialorbitofrontal,3014,Left,Grey,left medial orbitofrontal grey matter
1015,ctx-lh-middletemporal,3015,Left,Grey,left middle temporal grey matter
