#ParcellationId,Label,asymetry counterpart,Left or Right,White or Grey,Common Name
0002,x1,x2,x3,x4,x5
0004,x1,x2,x3,x4,x5
0005,x1,x2,x3,x4,x5
0007,x1,x2,x3,x4,x5
0008,x1,x2,x3,x4,x5
0010,x1,x2,x3,x4,x5
0011,x1,x2,x3,x4,x5
0012,Left Putamen,0051,Left,White Matter,Putamen
0013,x1,x2,x3,x4,x5
0014,x1,x2,x3,x4,x5
0015,x1,x2,x3,x4,x5
0016,x1,x2,x3,x4,x5
0017,x1,x2,x3,x4,x5
0018,x1,x2,x3,x4,x5
0024,x1,x2,x3,x4,x5
0026,x1,x2,x3,x4,x5
0028,x1,x2,x3,x4,x5
0030,x1,x2,x3,x4,x5
0031,x1,x2,x3,x4,x5
0041,x1,x2,x3,x4,x5
0043,x1,x2,x3,x4,x5
0044,x1,x2,x3,x4,x5
0046,x1,x2,x3,x4,x5
0047,x1,x2,x3,x4,x5
0049,x1,x2,x3,x4,x5
0050,x1,x2,x3,x4,x5
0051,Right Putamen,0012,Right,White Matter,Putamen
0052,x1,x2,x3,x4,x5
0053,x1,x2,x3,x4,x5
0054,x1,x2,x3,x4,x5
0058,x1,x2,x3,x4,x5
0060,x1,x2,x3,x4,x5
0062,x1,x2,x3,x4,x5
0063,x1,x2,x3,x4,x5
0077,x1,x2,x3,x4,x5
0085,x1,x2,x3,x4,x5
0251,x1,x2,x3,x4,x5
0252,x1,x2,x3,x4,x5
0253,x1,x2,x3,x4,x5
0254,x1,x2,x3,x4,x5
0255,x1,x2,x3,x4,x5
1000,x1,x2,x3,x4,x5
1001,x1,x2,x3,x4,x5
1002,x1,x2,x3,x4,x5
1003,x1,x2,x3,x4,x5
1005,x1,x2,x3,x4,x5
1006,x1,x2,x3,x4,x5
1007,x1,x2,x3,x4,x5
1008,x1,x2,x3,x4,x5
1009,x1,x2,x3,x4,x5
1010,x1,x2,x3,x4,x5
1011,x1,x2,x3,x4,x5
1012,x1,x2,x3,x4,x5
1013,x1,x2,x3,x4,x5
1014,x1,x2,x3,x4,x5
1015,x1,x2,x3,x4,x5
1016,x1,x2,x3,x4,x5
1017,x1,x2,x3,x4,x5
1018,x1,x2,x3,x4,x5
1019,x1,x2,x3,x4,x5
1020,x1,x2,x3,x4,x5
1021,x1,x2,x3,x4,x5
1022,x1,x2,x3,x4,x5
1023,x1,x2,x3,x4,x5
1024,x1,x2,x3,x4,x5
1025,x1,x2,x3,x4,x5
1026,x1,x2,x3,x4,x5
1027,x1,x2,x3,x4,x5
1028,x1,x2,x3,x4,x5
1029,x1,x2,x3,x4,x5
1030,x1,x2,x3,x4,x5
1031,x1,x2,x3,x4,x5
1032,x1,x2,x3,x4,x5
1033,x1,x2,x3,x4,x5
1034,ctx-lh-transversetemporal,x2,x3,x4,x5
1035,x1,x2,x3,x4,x5
2000,x1,x2,x3,x4,x5
2001,x1,x2,x3,x4,x5
2002,x1,x2,x3,x4,x5
2003,x1,x2,x3,x4,x5
2005,x1,x2,x3,x4,x5
2006,x1,x2,x3,x4,x5
2007,x1,x2,x3,x4,x5
2008,x1,x2,x3,x4,x5
2009,x1,x2,x3,x4,x5
2010,x1,x2,x3,x4,x5
2011,x1,x2,x3,x4,x5
2012,x1,x2,x3,x4,x5
2013,x1,x2,x3,x4,x5
2014,x1,x2,x3,x4,x5
2015,x1,x2,x3,x4,x5
2016,x1,x2,x3,x4,x5
2017,x1,x2,x3,x4,x5
2018,x1,x2,x3,x4,x5
2019,x1,x2,x3,x4,x5
2020,x1,x2,x3,x4,x5
2021,x1,x2,x3,x4,x5
2022,x1,x2,x3,x4,x5
2023,x1,x2,x3,x4,x5
2024,x1,x2,x3,x4,x5
2025,x1,x2,x3,x4,x5
2026,x1,x2,x3,x4,x5
2027,x1,x2,x3,x4,x5
2028,x1,x2,x3,x4,x5
2029,x1,x2,x3,x4,x5
2030,x1,x2,x3,x4,x5
2031,x1,x2,x3,x4,x5
2032,x1,x2,x3,x4,x5
2033,x1,x2,x3,x4,x5
2034,x1,x2,x3,x4,x5
2035,x1,x2,x3,x4,x5
3001,x1,x2,x3,x4,x5
3002,wm-lh-caudalanteriorcingulate,x2,x3,x4,x5
3003,wm-lh-caudalmiddlefrontal,x2,x3,x4,x5
3005,x1,x2,x3,x4,x5
3006,x1,x2,x3,x4,x5
3007,wm-lh-fusiform,x2,x3,x4,x4,x5
3008,x1,x2,x3,x4,x5
